geography,total,total_u.s._citizen_born_in_the_united_states,total_u.s._citizen_born_in_puerto_rico_or_u.s._island_areas,total_u.s._citizen_born_abroad_of_american_parent(s),total_u.s._citizen_by_naturalization,total_not_a_u.s._citizen,name,state,county
0500000US06049,9017,8342,3,31,128,513,"Modoc County, California",06,049
0500000US06047,267390,197197,269,1720,26789,41415,"Merced County, California",06,047
0500000US06033,64095,57843,29,618,2602,3003,"Lake County, California",06,033
0500000US06043,17658,16288,0,162,551,657,"Mariposa County, California",06,043
0500000US06115,74644,64541,129,887,4345,4742,"Yuba County, California",06,115
0500000US06013,1123678,827865,2319,15898,148222,129374,"Contra Costa County, California",06,013
0500000US06027,18195,16389,9,86,800,911,"Inyo County, California",06,027
0500000US06035,31470,29266,91,268,512,1333,"Lassen County, California",06,035
0500000US06099,535684,418917,886,5152,48159,62570,"Stanislaus County, California",06,099
0500000US06083,442996,335612,498,5124,34647,67115,"Santa Barbara County, California",06,083
0500000US06097,500943,411079,629,6028,35925,47282,"Sonoma County, California",06,097
0500000US06103,63247,57120,56,291,2964,2816,"Tehama County, California",06,103
0500000US06025,179957,118200,224,4536,27350,29647,"Imperial County, California",06,025
0500000US06051,14058,11336,0,276,391,2055,"Mono County, California",06,051
0500000US06069,58671,45667,71,923,5018,6992,"San Benito County, California",06,069
0500000US06001,1629615,1081065,4673,20061,276213,247603,"Alameda County, California",06,001
0500000US06067,1495400,1163717,2935,18677,175670,134401,"Sacramento County, California",06,067
0500000US06017,185015,165434,134,2382,9323,7742,"El Dorado County, California",06,017
0500000US06055,141005,108371,289,1467,14098,16780,"Napa County, California",06,055
0500000US06073,3283665,2446284,12398,50621,399036,375326,"San Diego County, California",06,073
0500000US06053,433168,297700,847,5667,35957,92997,"Monterey County, California",06,053
0500000US06075,864263,544392,2212,17117,188038,112504,"San Francisco County, California",06,075
0500000US06091,2885,2810,0,0,35,40,"Sierra County, California",06,091
0500000US06107,458809,352755,236,3051,32845,69922,"Tulare County, California",06,107
0500000US06113,212605,160714,334,3348,22001,26208,"Yolo County, California",06,113
0500000US06023,135490,126999,243,1002,3086,4160,"Humboldt County, California",06,023
0500000US06057,98838,91620,129,1120,2984,2985,"Nevada County, California",06,057
0500000US06003,1203,1153,3,24,14,9,"Alpine County, California",06,003
0500000US06039,154440,120021,173,1017,9740,23489,"Madera County, California",06,039
0500000US06045,87497,75108,90,810,4227,7262,"Mendocino County, California",06,045
0500000US06087,273263,219977,260,3711,18528,30787,"Santa Cruz County, California",06,087
0500000US06105,13037,12203,68,100,245,421,"Trinity County, California",06,105
0500000US06037,10105722,6511491,17298,98054,1767074,1711805,"Los Angeles County, California",06,037
0500000US06065,2355002,1813313,5347,23825,241479,271038,"Riverside County, California",06,065
0500000US06071,2121220,1651986,5032,20292,215539,228371,"San Bernardino County, California",06,071
0500000US06085,1911226,1143826,3886,25420,393664,344430,"Santa Clara County, California",06,085
0500000US06041,260814,209678,216,3902,21905,25113,"Marin County, California",06,041
0500000US06061,374985,329483,730,4249,25425,15098,"Placer County, California",06,061
0500000US06093,43530,40882,52,310,1123,1163,"Siskiyou County, California",06,093
0500000US06089,178919,168362,120,998,4585,4854,"Shasta County, California",06,089
0500000US06095,434981,338098,2246,7268,51275,36094,"Solano County, California",06,095
0500000US06015,27442,25422,0,291,819,910,"Del Norte County, California",06,015
0500000US06011,21479,15780,38,131,2271,3259,"Colusa County, California",06,011
0500000US06021,27935,22188,22,146,1757,3822,"Glenn County, California",06,021
0500000US06007,225207,206078,282,1672,8939,8236,"Butte County, California",06,007
0500000US06031,150183,120435,292,1697,9382,18377,"Kings County, California",06,031
0500000US06063,18724,17896,0,185,309,334,"Plumas County, California",06,063
0500000US06079,280119,247149,419,3442,13450,15659,"San Luis Obispo County, California",06,079
0500000US06019,971616,759083,1258,6909,79302,125064,"Fresno County, California",06,019
0500000US06029,878744,694465,1604,7388,59153,116134,"Kern County, California",06,029
0500000US06059,3155816,2162787,4956,33364,504160,450549,"Orange County, California",06,059
0500000US06111,847834,648011,1153,7888,90509,100273,"Ventura County, California",06,111
0500000US06009,45057,42064,51,374,1180,1388,"Calaveras County, California",06,009
0500000US06101,95583,72346,192,1386,10576,11083,"Sutter County, California",06,101
0500000US06081,763450,485042,1517,11985,150935,113971,"San Mateo County, California",06,081
0500000US06109,53899,50920,24,435,1626,894,"Tuolumne County, California",06,109
0500000US06077,724153,547060,1364,7352,79696,88681,"San Joaquin County, California",06,077
0500000US06005,37306,34849,28,178,1308,943,"Amador County, California",06,005
