geography,total,total_male,total_female,total_native,total_native_male,total_native_female,total_foreign_born,total_foreign_born_male,total_foreign_born_female,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_naturalized_u.s._citizen_male,total_foreign_born_naturalized_u.s._citizen_female,total_foreign_born_not_a_u.s._citizen,total_foreign_born_not_a_u.s._citizen_male,total_foreign_born_not_a_u.s._citizen_female,name,state,county
0500000US06049,47.8,47.4,48.5,47.7,46.9,49.3,51.1,51.6,35.5,73.3,73.7,68.5,44.4,51.0,33.9,"Modoc County, California",06,049
0500000US06047,30.8,30.0,31.5,23.7,23.2,24.3,44.5,44.0,45.1,50.7,50.7,50.6,40.6,39.7,41.7,"Merced County, California",06,047
0500000US06033,45.8,44.2,47.5,45.7,43.5,47.7,46.2,46.4,45.9,53.4,59.5,48.3,38.6,35.9,43.7,"Lake County, California",06,033
0500000US06043,51.1,50.9,51.6,51.5,51.3,51.9,46.5,44.4,48.0,54.3,55.8,49.5,39.9,39.9,39.9,"Mariposa County, California",06,043
0500000US06115,32.4,31.4,33.4,30.3,29.4,31.4,42.3,41.9,42.4,51.2,51.2,51.3,36.3,37.4,35.5,"Yuba County, California",06,115
0500000US06013,39.2,37.9,40.5,34.7,33.2,36.1,45.4,44.8,46.0,51.6,51.4,51.7,38.6,38.0,39.1,"Contra Costa County, California",06,013
0500000US06027,45.6,44.7,46.8,45.4,44.4,46.7,46.8,46.0,48.1,52.2,52.2,52.4,41.7,41.0,43.9,"Inyo County, California",06,027
0500000US06035,36.2,34.0,43.8,35.8,33.8,43.0,38.7,37.4,55.1,54.6,48.7,59.2,36.5,36.2,37.5,"Lassen County, California",06,035
0500000US06099,33.9,32.7,35.0,28.9,27.8,30.0,45.6,45.2,45.9,52.0,52.2,51.8,40.7,40.4,41.1,"Stanislaus County, California",06,099
0500000US06083,33.7,32.5,34.9,29.0,28.0,30.3,41.9,40.8,42.9,53.1,52.9,53.2,36.6,35.7,37.8,"Santa Barbara County, California",06,083
0500000US06097,41.4,39.9,43.2,40.2,38.3,42.3,44.0,43.2,45.1,52.2,51.2,53.3,38.9,38.5,39.4,"Sonoma County, California",06,097
0500000US06103,41.1,39.6,43.1,39.8,37.6,41.9,46.0,46.1,45.9,52.0,53.3,50.1,41.2,41.1,41.6,"Tehama County, California",06,103
0500000US06025,32.2,31.0,33.5,23.3,24.1,22.4,50.3,48.7,51.3,54.0,53.1,55.3,46.8,45.0,48.1,"Imperial County, California",06,025
0500000US06051,38.3,38.7,36.9,39.0,39.9,38.8,35.3,35.3,35.3,63.0,63.5,55.8,31.8,31.1,32.0,"Mono County, California",06,051
0500000US06069,35.4,34.7,36.3,30.2,29.5,31.0,46.6,46.2,47.3,51.1,49.4,51.8,43.6,43.0,44.0,"San Benito County, California",06,069
0500000US06001,37.3,36.4,38.2,31.6,30.7,32.6,44.3,43.7,44.9,50.8,50.6,50.9,37.3,37.2,37.5,"Alameda County, California",06,001
0500000US06067,35.9,34.6,37.1,32.4,31.3,33.6,44.2,43.3,44.9,49.2,48.9,49.5,38.1,37.5,38.8,"Sacramento County, California",06,067
0500000US06017,45.5,44.6,46.3,45.0,43.8,45.8,49.1,48.7,49.6,56.1,56.5,55.0,41.0,39.5,41.7,"El Dorado County, California",06,017
0500000US06055,40.8,39.7,42.2,37.1,35.5,39.2,45.6,44.8,46.3,52.8,51.9,53.7,40.6,40.4,40.8,"Napa County, California",06,055
0500000US06073,35.4,34.1,36.8,30.8,30.1,31.6,45.7,44.3,46.8,51.4,50.4,52.3,39.8,38.4,41.2,"San Diego County, California",06,073
0500000US06053,33.9,33.3,34.6,26.9,26.7,27.1,42.6,41.7,43.5,53.9,53.0,54.9,38.9,38.5,39.5,"Monterey County, California",06,053
0500000US06075,38.3,38.1,38.6,33.1,33.9,32.4,48.7,47.1,50.3,55.5,54.2,57.0,37.2,37.1,37.4,"San Francisco County, California",06,075
0500000US06091,55.0,53.9,58.1,55.0,53.6,58.3,48.2,68.3,45.2,45.3,-666666666.0,45.2,-666666666.0,-666666666.0,-666666666.0,"Sierra County, California",06,091
0500000US06107,30.6,29.9,31.3,24.6,23.7,25.6,43.9,43.3,44.5,51.5,51.5,51.7,40.7,40.2,41.1,"Tulare County, California",06,107
0500000US06113,30.9,30.4,31.5,26.6,26.1,27.1,40.3,38.9,41.2,48.5,48.2,48.8,34.0,32.9,35.2,"Yolo County, California",06,113
0500000US06023,37.7,37.2,38.5,37.2,36.7,37.8,42.8,41.8,44.4,52.7,53.1,51.0,38.5,37.7,40.7,"Humboldt County, California",06,023
0500000US06057,49.8,48.1,51.7,49.8,48.2,51.5,49.9,45.9,53.0,58.7,59.3,58.0,43.1,40.8,44.5,"Nevada County, California",06,057
0500000US06003,44.9,47.3,44.8,44.8,45.5,44.7,46.9,51.8,46.3,56.5,-666666666.0,-666666666.0,23.9,-666666666.0,-666666666.0,"Alpine County, California",06,003
0500000US06039,33.7,32.6,34.7,29.7,28.0,31.1,41.8,41.8,41.7,48.6,48.8,48.3,38.9,38.5,39.5,"Madera County, California",06,039
0500000US06045,42.4,40.2,44.3,42.4,39.8,44.3,42.5,41.3,44.0,53.8,53.3,54.7,37.9,37.1,39.1,"Mendocino County, California",06,045
0500000US06087,37.3,36.2,38.6,34.4,33.3,35.4,44.0,43.5,44.5,51.8,51.4,52.5,39.1,38.6,39.3,"Santa Cruz County, California",06,087
0500000US06105,51.4,51.4,51.4,51.9,51.9,51.9,47.6,45.5,48.0,53.1,50.8,62.0,45.9,45.1,47.5,"Trinity County, California",06,105
0500000US06037,36.0,34.9,37.2,27.3,26.9,27.8,47.8,46.7,48.8,54.4,53.7,55.1,41.1,40.4,42.1,"Los Angeles County, California",06,037
0500000US06065,35.0,34.1,36.0,29.2,28.5,29.9,46.6,46.3,47.0,51.6,51.1,52.1,42.5,41.8,43.1,"Riverside County, California",06,065
0500000US06071,32.9,31.8,34.1,27.3,26.7,28.0,46.8,46.1,47.4,51.8,51.4,52.2,41.9,41.1,42.8,"San Bernardino County, California",06,071
0500000US06085,37.0,35.9,38.1,28.3,27.9,28.9,44.0,43.2,44.8,51.0,50.9,51.0,36.2,35.9,36.5,"Santa Clara County, California",06,085
0500000US06041,46.1,44.6,47.7,45.9,44.1,47.5,46.8,45.7,48.3,56.2,55.4,57.1,39.9,40.2,39.4,"Marin County, California",06,041
0500000US06061,41.6,40.2,43.0,40.5,38.7,42.1,46.5,46.1,47.1,51.6,51.3,51.9,40.2,38.7,40.9,"Placer County, California",06,061
0500000US06093,47.9,46.7,49.2,48.0,46.9,49.3,46.5,44.7,48.0,52.0,51.9,52.4,41.5,41.5,41.6,"Siskiyou County, California",06,093
0500000US06089,41.8,39.8,43.8,41.8,40.0,43.6,42.8,38.2,46.3,54.7,54.5,54.8,31.8,30.5,34.7,"Shasta County, California",06,089
0500000US06095,37.7,36.3,39.3,33.5,32.6,34.3,48.4,47.0,50.1,53.9,53.2,54.7,41.0,39.6,42.3,"Solano County, California",06,095
0500000US06015,38.7,37.5,44.1,37.8,37.0,41.3,47.9,42.4,50.1,57.9,65.1,52.9,40.1,37.3,45.2,"Del Norte County, California",06,015
0500000US06011,34.7,33.7,35.8,26.9,26.5,27.5,45.4,45.4,45.3,51.8,53.6,45.8,43.5,42.4,44.6,"Colusa County, California",06,011
0500000US06021,36.8,35.5,38.0,31.6,29.6,34.4,43.1,45.1,42.6,54.2,55.0,52.4,42.1,42.4,41.1,"Glenn County, California",06,021
0500000US06007,36.9,35.4,38.5,35.9,34.6,37.3,44.7,42.1,46.4,50.9,49.8,51.6,36.4,34.8,41.0,"Butte County, California",06,007
0500000US06031,31.5,32.1,30.8,27.7,29.1,26.1,43.3,41.8,45.6,51.8,52.1,51.6,39.7,39.0,41.3,"Kings County, California",06,031
0500000US06063,52.1,51.4,52.8,52.0,51.3,52.5,57.4,53.8,66.7,64.2,57.3,67.7,44.7,51.8,44.6,"Plumas County, California",06,063
0500000US06079,39.0,37.3,41.3,37.9,36.4,40.2,43.5,42.1,45.5,53.1,51.2,54.8,36.8,36.4,37.2,"San Luis Obispo County, California",06,079
0500000US06019,31.8,31.0,32.8,26.9,26.2,27.8,43.6,43.2,43.9,50.4,50.8,50.2,39.9,39.6,40.3,"Fresno County, California",06,019
0500000US06029,31.3,30.8,31.9,26.7,26.5,26.8,43.6,43.0,44.0,49.6,49.4,50.0,40.7,40.4,41.2,"Kern County, California",06,029
0500000US06059,37.5,36.3,38.8,30.0,29.2,30.9,46.5,46.0,47.1,52.7,52.5,52.9,40.2,39.5,40.8,"Orange County, California",06,059
0500000US06111,37.5,36.2,38.9,32.5,31.4,33.5,45.9,44.7,47.2,53.7,53.1,54.2,39.1,38.1,40.3,"Ventura County, California",06,111
0500000US06009,51.6,50.9,52.4,51.4,51.0,52.0,54.1,50.8,55.9,61.2,56.3,61.7,48.3,47.7,48.7,"Calaveras County, California",06,009
0500000US06101,35.7,34.5,36.9,31.2,29.5,32.7,44.5,43.7,45.4,48.9,50.2,47.3,40.7,39.3,42.5,"Sutter County, California",06,101
0500000US06081,39.6,38.2,40.9,33.1,32.3,34.0,46.4,45.0,47.9,53.4,52.9,53.8,37.5,36.7,38.5,"San Mateo County, California",06,081
0500000US06109,48.6,46.1,51.2,47.9,45.3,50.7,55.8,54.8,56.8,60.0,60.8,57.1,50.2,47.5,56.6,"Tuolumne County, California",06,109
0500000US06077,33.9,32.9,35.0,28.0,26.9,28.9,44.4,43.8,44.9,49.8,49.8,49.8,39.8,39.2,40.4,"San Joaquin County, California",06,077
0500000US06005,50.6,48.6,53.0,50.4,48.4,52.8,52.6,49.4,57.1,57.4,57.0,57.5,45.3,42.5,50.4,"Amador County, California",06,005
