geography,total,total_native,total_native_allocated,total_native_not_allocated,total_foreign_born,total_foreign_born_allocated,total_foreign_born_not_allocated,name,state,county
0500000US06049,9017,8376,219,8157,641,0,641,"Modoc County, California",06,049
0500000US06047,267390,199186,9042,190144,68204,3297,64907,"Merced County, California",06,047
0500000US06033,64095,58490,11591,46899,5605,870,4735,"Lake County, California",06,033
0500000US06043,17658,16450,573,15877,1208,68,1140,"Mariposa County, California",06,043
0500000US06115,74644,65557,3316,62241,9087,615,8472,"Yuba County, California",06,115
0500000US06013,1123678,846082,68538,777544,277596,25508,252088,"Contra Costa County, California",06,013
0500000US06027,18195,16484,656,15828,1711,54,1657,"Inyo County, California",06,027
0500000US06035,31470,29625,1039,28586,1845,204,1641,"Lassen County, California",06,035
0500000US06099,535684,424955,20969,403986,110729,6092,104637,"Stanislaus County, California",06,099
0500000US06083,442996,341234,21613,319621,101762,6743,95019,"Santa Barbara County, California",06,083
0500000US06097,500943,417736,33538,384198,83207,8094,75113,"Sonoma County, California",06,097
0500000US06103,63247,57467,2975,54492,5780,364,5416,"Tehama County, California",06,103
0500000US06025,179957,122960,6578,116382,56997,4145,52852,"Imperial County, California",06,025
0500000US06051,14058,11612,460,11152,2446,0,2446,"Mono County, California",06,051
0500000US06069,58671,46661,3382,43279,12010,875,11135,"San Benito County, California",06,069
0500000US06001,1629615,1105799,71543,1034256,523816,37618,486198,"Alameda County, California",06,001
0500000US06067,1495400,1185329,67334,1117995,310071,20794,289277,"Sacramento County, California",06,067
0500000US06017,185015,167950,13820,154130,17065,1623,15442,"El Dorado County, California",06,017
0500000US06055,141005,110127,8978,101149,30878,3733,27145,"Napa County, California",06,055
0500000US06073,3283665,2509303,168456,2340847,774362,58273,716089,"San Diego County, California",06,073
0500000US06053,433168,304214,19697,284517,128954,10568,118386,"Monterey County, California",06,053
0500000US06075,864263,563721,44948,518773,300542,27186,273356,"San Francisco County, California",06,075
0500000US06091,2885,2810,122,2688,75,1,74,"Sierra County, California",06,091
0500000US06107,458809,356042,20425,335617,102767,8281,94486,"Tulare County, California",06,107
0500000US06113,212605,164396,10271,154125,48209,3223,44986,"Yolo County, California",06,113
0500000US06023,135490,128244,9296,118948,7246,868,6378,"Humboldt County, California",06,023
0500000US06057,98838,92869,6097,86772,5969,290,5679,"Nevada County, California",06,057
0500000US06003,1203,1180,119,1061,23,2,21,"Alpine County, California",06,003
0500000US06039,154440,121211,6275,114936,33229,2129,31100,"Madera County, California",06,039
0500000US06045,87497,76008,6995,69013,11489,1222,10267,"Mendocino County, California",06,045
0500000US06087,273263,223948,15664,208284,49315,3824,45491,"Santa Cruz County, California",06,087
0500000US06105,13037,12371,592,11779,666,24,642,"Trinity County, California",06,105
0500000US06037,10105722,6626843,451975,6174868,3478879,270230,3208649,"Los Angeles County, California",06,037
0500000US06065,2355002,1842485,136201,1706284,512517,37364,475153,"Riverside County, California",06,065
0500000US06071,2121220,1677310,113630,1563680,443910,33205,410705,"San Bernardino County, California",06,071
0500000US06085,1911226,1173132,92947,1080185,738094,62678,675416,"Santa Clara County, California",06,085
0500000US06041,260814,213796,18247,195549,47018,5520,41498,"Marin County, California",06,041
0500000US06061,374985,334462,19877,314585,40523,2268,38255,"Placer County, California",06,061
0500000US06093,43530,41244,3039,38205,2286,155,2131,"Siskiyou County, California",06,093
0500000US06089,178919,169480,9584,159896,9439,574,8865,"Shasta County, California",06,089
0500000US06095,434981,347612,22011,325601,87369,6747,80622,"Solano County, California",06,095
0500000US06015,27442,25713,2207,23506,1729,367,1362,"Del Norte County, California",06,015
0500000US06011,21479,15949,407,15542,5530,215,5315,"Colusa County, California",06,011
0500000US06021,27935,22356,1145,21211,5579,342,5237,"Glenn County, California",06,021
0500000US06007,225207,208032,16778,191254,17175,1874,15301,"Butte County, California",06,007
0500000US06031,150183,122424,5319,117105,27759,1743,26016,"Kings County, California",06,031
0500000US06063,18724,18081,874,17207,643,92,551,"Plumas County, California",06,063
0500000US06079,280119,251010,18881,232129,29109,1917,27192,"San Luis Obispo County, California",06,079
0500000US06019,971616,767250,51256,715994,204366,15007,189359,"Fresno County, California",06,019
0500000US06029,878744,703457,34334,669123,175287,10179,165108,"Kern County, California",06,029
0500000US06059,3155816,2201107,179755,2021352,954709,85237,869472,"Orange County, California",06,059
0500000US06111,847834,657052,39697,617355,190782,12072,178710,"Ventura County, California",06,111
0500000US06009,45057,42489,1570,40919,2568,197,2371,"Calaveras County, California",06,009
0500000US06101,95583,73924,3602,70322,21659,1160,20499,"Sutter County, California",06,101
0500000US06081,763450,498544,34691,463853,264906,22706,242200,"San Mateo County, California",06,081
0500000US06109,53899,51379,2169,49210,2520,170,2350,"Tuolumne County, California",06,109
0500000US06077,724153,555776,35416,520360,168377,12455,155922,"San Joaquin County, California",06,077
0500000US06005,37306,35055,1240,33815,2251,39,2212,"Amador County, California",06,005
