,name,address,longitude,latitude
0,administrative office,"1430 franklin street, suite 103, oakland, ca 94612",-122.26919,37.804375
1,arvin ,"211 bear mountain blvd., arvin, ca 93203",-118.82564,35.208841
2,coachella,"1460 6th street, p.o. box 35, coachella, ca 92236",-116.17685,33.678303
3,delano,"601 high street, suite c, delano, ca 93215",-119.24624,35.763884
4,el centro ,"449 broadway st., el centro, ca 92243",-115.55365,32.793576
5,fresno ,"3747 e. shields avenue, fresno, ca 93726",-119.76256,36.779783
6,hollister ,"310 4th street, hollister, ca 95023",-121.4022,36.85272
7,los angeles,"714 w. olympic blvd., suite 450",-118.26341,34.04454
8,madera ,"126 north b. street, madera, ca 93638",-120.05747,36.96455
9,marysville ,"511 d street, p.o. box 2600, marysville, ca 95901",-121.58893,39.14047
10,modesto,"1111 i street,  310, modesto, ca 95354",-120.99771,37.64062
11,"oxnard, basic","338 south “a” street, oxnard, ca 93030",-119.1783,34.199621
12,"oxnard, migrant ","p.o. box 1561, oxnard, ca 93032",-119.166009,34.22697
13,"salinas, basic ","3 williams road,, salinas, ca 93905",-121.62011,36.672633
14,"salinas, migrant","3 williams road,, salinas, ca 93905",-121.62011,36.672633
15,san luis obispo ,"175 santa rosa street,, san luis obispo, ca 93405",-120.66641,35.289565
16,santa maria ,"2050 g south broadway, santa maria, ca 93454",-120.43555,34.923
17,santa rosa ,"1160 n. dutton ave., suite 105, santa rosa, ca 95401",-122.73051,38.447257
18,stockton ,"145 e. weber ave., stockton, ca 95202",-121.28948,37.954148
19,vista,"640 civic center dr.,  108, vista, ca 92084",-117.23364,33.197135
20,watsonville,"21 carr street, watsonville, ca 95076",-121.75554,36.912316
